longitude,latitude,rank,metro_area,pop,year,name,Y,X
1826306.8215123028,572323.5961299175,1,New York,4266,1900,"New York, NY, USA",40.7127753,-74.0059728
688894.5581520521,520848.0215347835,2,Chicago,1759,1900,"Chicago, IL, USA",41.8781136,-87.6297982
1750159.3590360114,467500.28292565123,3,Philadelphia,1454,1900,"Philadelphia, PA, USA",39.9525839,-75.1652215
2017891.0935164597,810721.5487696491,4,Boston,1009,1900,"Boston, MA, USA",42.3600825,-71.0588801
499943.2577844952,141578.9028524153,5,St. Louis,626,1900,"St. Louis, MO, USA",38.6270025,-90.19940419999999
1339643.7539514583,442625.07253996487,6,Pittsburgh,532,1900,"Pittsburgh, PA, USA",40.44062479999999,-79.9958864
1645401.3846196022,369094.44625939615,7,Baltimore,532,1900,"Baltimore, MD, USA",39.2903848,-76.6121893
1180833.0887593785,537148.6327121885,8,Cleveland,396,1900,"Cleveland, OH, USA",41.49932,-81.6943605
981897.663930694,239101.6451391023,9,Cincinnati,379,1900,"Cincinnati, OH, USA",39.1031182,-84.5120196
-2275432.307784675,349152.707042558,10,San Francisco,375,1900,"San Francisco, CA, USA",37.7749295,-122.4194155
215403.25513338376,839558.563352418,11,Minneapolis,374,1900,"Minneapolis, MN, USA",44.977753,-93.2650108
1383166.0954311108,728166.9433833254,12,Buffalo,373,1900,"Buffalo, NY, USA",42.88644679999999,-78.8783689
1057362.9018611417,613370.7849437178,13,Detroit,321,1900,"Detroit, MI, USA",42.331427,-83.0457538
1618357.9362595072,319724.89159618074,14,"Washington, DC",302,1900,"Washington, DC, USA",38.9071923,-77.0368707
655140.6668297618,648176.321968156,15,Milwaukee,296,1900,"Milwaukee, WI, USA",43.0389025,-87.9064736
571370.0657730749,-825013.831012461,16,New Orleans,291,1900,"New Orleans, LA, USA",29.95106579999999,-90.0715323
2005241.5662940776,745291.7254146772,17,Providence,243,1900,"Providence, RI, USA",41.8239891,-71.4128343
121789.91892274926,180212.1714247109,18,Kansas City,242,1900,"Kansas City, MO, USA",39.0997265,-94.5785667
