city,other_name,country,latitude,longitude,certainty,year,population
Hanzhong,Hanchung,China,33.066667,107.016667,1,1800,50000
Havana,La Habana,Cuba,23.13302,-82.38304,1,1800,60000
Herat,NA,Afghanistan,34.34817,62.19967,1,1800,45000
Himeji,NA,Japan,34.81667,134.7,1,1800,23000
Hiroshima,NA,Japan,34.396775,132.460017,1,1800,49000
Homs,NA,Syria,34.72682,36.72339,1,1800,25000
Huai'an,"Huaian, Hwaian",China,33.5,119.133333,1,1800,47000
Huancavelica,NA,Peru,-12.78542,-74.97501,1,1800,5146
Hue,NA,Vietnam,16.46667,107.6,1,1800,50000
Hugli-Chuchura,"Chinsurah, Hooghly, Hooghly-Chinsura",India,22.9,88.39,2,1800,12000
Hull,NA,United Kingdom,53.7446,-0.33525,1,1800,32000
Hyderabad,NA,India,17.38405,78.45636,1,1800,175000
Hydra,NA,Algeria,36.7567,3.0247,3,1800,22000
Iasi,Jassy,Romania,47.16667,27.6,1,1800,20000
Indore,NA,India,22.71792,75.8333,1,1800,45000
Inwa,Ava,Myanmar,21.857353,95.981936,1,1800,4000
Ioannina,"Iannina,  Io·nnina, Yannina",Greece,39.665028,20.853747,1,1800,30000
